rel_id,key,value
REL:conforms_to:RS-config->SD-01,uafRelationship,conforms_to
REL:conforms_to:RS-config->SD-05,uafRelationship,conforms_to
REL:conforms_to:RS-api->SD-01,uafRelationship,conforms_to
REL:conforms_to:RS-api->SD-05,uafRelationship,conforms_to
REL:conforms_to:RS-api->SD-06,uafRelationship,conforms_to
REL:conforms_to:RS-api->SD-06,status,planned
REL:conforms_to:RS-api->SD-07,uafRelationship,conforms_to
REL:conforms_to:RS-api->SD-07,status,planned
REL:conforms_to:RS-api->SD-08,uafRelationship,conforms_to
REL:conforms_to:RS-api->SD-08,status,planned
REL:conforms_to:RS-remote->SD-06,uafRelationship,conforms_to
REL:conforms_to:RS-remote->SD-06,status,planned
REL:conforms_to:RS-remote->SD-07,uafRelationship,conforms_to
REL:conforms_to:RS-remote->SD-07,status,planned
REL:conforms_to:RS-remote->SD-08,uafRelationship,conforms_to
REL:conforms_to:RS-remote->SD-08,status,planned
REL:conforms_to:RS-node->SD-12,uafRelationship,conforms_to
REL:conforms_to:RS-node->SD-08,uafRelationship,conforms_to
REL:conforms_to:RS-node->SD-08,status,planned
REL:conforms_to:RS-interop->SD-02,uafRelationship,conforms_to
REL:conforms_to:RS-interop->SD-03,uafRelationship,conforms_to
REL:conforms_to:RS-interop->SD-03,status,planned
REL:conforms_to:RS-interop->SD-04,uafRelationship,conforms_to
REL:conforms_to:RS-interop->SD-04,status,planned
REL:conforms_to:RS-interop->SD-16,uafRelationship,conforms_to
REL:conforms_to:RS-interop->SD-16,status,planned
REL:conforms_to:RS-ingest->SD-16,uafRelationship,conforms_to
REL:conforms_to:RS-ingest->SD-16,status,planned
REL:conforms_to:RS-remote->SD-16,uafRelationship,conforms_to
REL:conforms_to:RS-remote->SD-16,status,planned
REL:conforms_to:RS-ingest->SD-09,uafRelationship,conforms_to
REL:conforms_to:RS-ingest->SD-09,status,planned
REL:conforms_to:RS-ingest->SD-10,uafRelationship,conforms_to
REL:conforms_to:RS-ingest->SD-10,status,planned
REL:conforms_to:RS-identity->SD-11,uafRelationship,conforms_to
REL:conforms_to:RS-identity->SD-11,status,planned
REL:conforms_to:RS-app->SD-13,uafRelationship,conforms_to
REL:conforms_to:RS-app->SD-13,status,planned
REL:conforms_to:RS-node->SD-13,uafRelationship,conforms_to
REL:conforms_to:RS-node->SD-13,status,planned
