rel_id,kind,stereotype,from_id,to_id,name,ea_type
REL:achieves:OA-32->CAP-4.7,achieves,Achieves,OA-32,CAP-4.7,achieves: OA-32 -> CAP-4.7,Abstraction
REL:achieves:OA-32->CAP-5.8,achieves,Achieves,OA-32,CAP-5.8,achieves: OA-32 -> CAP-5.8,Abstraction
REL:achieves:OA-33->CAP-5.7,achieves,Achieves,OA-33,CAP-5.7,achieves: OA-33 -> CAP-5.7,Abstraction
REL:achieves:OA-34->CAP-6.1,achieves,Achieves,OA-34,CAP-6.1,achieves: OA-34 -> CAP-6.1,Abstraction
REL:achieves:OA-34->CAP-6.2,achieves,Achieves,OA-34,CAP-6.2,achieves: OA-34 -> CAP-6.2,Abstraction
REL:achieves:OA-35->CAP-6.3,achieves,Achieves,OA-35,CAP-6.3,achieves: OA-35 -> CAP-6.3,Abstraction
REL:achieves:OA-36->CAP-1.7,achieves,Achieves,OA-36,CAP-1.7,achieves: OA-36 -> CAP-1.7,Abstraction
REL:achieves:OA-11->CAP-5.10,achieves,Achieves,OA-11,CAP-5.10,achieves: OA-11 -> CAP-5.10,Abstraction
REL:achieves:OA-24->CAP-6.5,achieves,Achieves,OA-24,CAP-6.5,achieves: OA-24 -> CAP-6.5,Abstraction
REL:achieves:OA-15->CAP-6.4,achieves,Achieves,OA-15,CAP-6.4,achieves: OA-15 -> CAP-6.4,Abstraction
REL:achieves:OA-07->CAP-5.9,achieves,Achieves,OA-07,CAP-5.9,achieves: OA-07 -> CAP-5.9,Abstraction
REL:performs:OP-01->OA-03,performs,IsCapableToPerform,OP-01,OA-03,performs: OP-01 -> OA-03,Abstraction
REL:performs:OP-01->OA-07,performs,IsCapableToPerform,OP-01,OA-07,performs: OP-01 -> OA-07,Abstraction
REL:performs:OP-01->OA-12,performs,IsCapableToPerform,OP-01,OA-12,performs: OP-01 -> OA-12,Abstraction
REL:performs:OP-01->OA-16,performs,IsCapableToPerform,OP-01,OA-16,performs: OP-01 -> OA-16,Abstraction
REL:performs:OP-01->OA-27,performs,IsCapableToPerform,OP-01,OA-27,performs: OP-01 -> OA-27,Abstraction
REL:performs:OP-02->OA-07,performs,IsCapableToPerform,OP-02,OA-07,performs: OP-02 -> OA-07,Abstraction
REL:performs:OP-02->OA-13,performs,IsCapableToPerform,OP-02,OA-13,performs: OP-02 -> OA-13,Abstraction
REL:performs:OP-02->OA-23,performs,IsCapableToPerform,OP-02,OA-23,performs: OP-02 -> OA-23,Abstraction
REL:performs:OP-02->OA-24,performs,IsCapableToPerform,OP-02,OA-24,performs: OP-02 -> OA-24,Abstraction
REL:performs:OP-02->OA-29,performs,IsCapableToPerform,OP-02,OA-29,performs: OP-02 -> OA-29,Abstraction
